| #  | Column Name       | IMAGE (single) | IMAGE (single) MEF format | MEFIMAGE (mosaic) MEF format | IMAGE.FLUXMAP | SPECTRUM |  CUBE.IFS | VISIBILITY | SRCTBL | MCATALOG | CATALOGTILE | CATALOG    |
|----|-------------------|----------------|---------------------------|------------------------------|---------------|----------|-----------|------------|--------|----------|-------------|------------|
| 1  | PRODCATG          | M              | M                         | M                            | M             | M        | M         | M          | M      | M        | M           | M          |
| 2  | ASSOCi            | Mapp31         | Mapp31                    | Mapp31                       | Mapp31        | Mapp31   | Mapp31    | Mapp31     | Mapp31 | N/A      | Mapp31      | Mapp31     |
| 3  | ASSONi            | Mapp32         | Mapp32                    | Mapp32                       | M33           | Mapp32   | M34       | Mapp32     | Mapp32 | N/A      | Mapp32      | Mapp32     |
| 4  | ASSOMi            | Mapp31         | Mapp31                    | Mapp31                       | Mapp31        | Mapp31   | Mapp31    | Mapp31     | Mapp31 | N/A      | Mapp31      | Mapp31     |
| 5  | ORIGIN            | M              | M                         | M                            | M             | M        | M         | M          | M      | M        | M           | M          |
| 6  | TELESCOP TELESCi  | M              | M                         | M                            | M             | M        | M         | M          | M      | M        | M           | M          |
| 7  | INSTRUME INSTRi   | M              | M                         | M                            | M             | M        | M         | M          | M      | M        | M           | M          |
| 8  | FILTER FILTERi    | M              | M                         | M                            | M             | N/A      | N/A       | N/A        | M      | Mapp35   | Mapp35      | Mapp35     |
| 9  | OBJECT            | M              | M                         | M                            | M             | M        | M         | M          | M      | M        | M           | M          |
| 10 | RA DEC            | M              | M                         | M                            | M             | M        | M         | M          | M      | N/A      | M           | Mapp36     |
| 11 | EQUINOX           | Mapp37         | Mapp37                    | Mapp37                       | Mapp37        | Mapp37   | Mapp37    | Mapp37     | Mapp37 | N/A      | Mapp37      | Mapp37, 36 |
| 12 | RADESYS           | M              | M                         | M                            | M             | M        | M         | M          | M      | N/A      | M           | Mapp36     |
| 13 | TIMESYS           | Mapp38         | Mapp38                    | Mapp38                       | Mapp38        | Mapp38   | Mapp38    | Mapp38     | Mapp38 | Mapp38   | Mapp38      | Mapp38     |
| 14 | EXPTIME           | M              | M                         | M                            | M             | M        | M         | M          | M      | N/A      | N/A         | N/A        |
| 15 | TEXPTIME          | M              | M                         | M                            | M             | M        | M         | M          | M      | N/A      | N/A         | N/A        |
| 16 | MJD-OBS           | M              | M                         | M                            | M             | M        | M         | M          | M      | M        | M           | M          |
| 17 | MJD-END           | M              | M                         | M                            | M             | M        | M         | M          | M      | M        | M           | M          |
| 18 | PROG_ID PROGIDi   | Meso           | Meso                      | Meso                         | Meso          | Meso     | Meso      | Meso       | Meso   | Meso     | Meso        | Meso       |
| 19 | OBIDi             | Meso           | Meso                      | Meso                         | Meso          | Meso     | Meso      | Meso       | Meso   | Meso     | Meso        | Meso       |
| 20 | NCOMBINE          | Meso           | Meso                      | Meso                         | Meso          | Meso     | Meso      | Meso       | Meso   | N/A      | N/A         | N/A        |
| 21 | OBSTECH           | M              | M                         | M                            | M             | M        | M         | M          | M      | Mapp39   | Mapp39      | Mapp39     |
| 22 | FLUXCAL           | M              | M                         | M                            | M             | M        | M         | N/A        | N/A    | N/A      | N/A         | N/A        |
| 23 | PROCSOFT          | M              | M                         | M                            | M             | M        | M         | M          | M      | M        | M           | M          |
| 24 | REFERENC          | M40            | M40                       | M40                          | M40           | M40      | M40       | M40        | M40    | M40      | M40         | M40        |
| 25 | PROVi PROVXTN     | Meso           | Meso                      | Meso                         | Meso          | Meso     | Meso      | Meso       | Meso   | N/A      | Meso        | Meso       |
| 26 | BUNIT             | M              | M                         | M                            | M             | NotAlw   | M         | N/A        | N/A    | N/A      | N/A         | N/A        |
| 27 | GAIN              | O              | O                         | O                            | N/A           | N/A      | N/A       | N/A        | N/A    | N/A      | N/A         | N/A        |
| 28 | DETRON            | O              | O                         | O                            | N/A           | N/A      | N/A       | N/A        | N/A    | N/A      | N/A         | N/A        |
| 29 | EFFRON            | O              | O                         | O                            | N/A           | N/A      | N/A       | N/A        | N/A    | N/A      | N/A         | N/A        |
| 30 | WEIGHT            | O              | O                         | O                            | N/A           | N/A      | N/A       | N/A        | N/A    | N/A      | N/A         | N/A        |
| 31 | CRVALi            | M              | M                         | M                            | M             | N/A      | M         | N/A        | N/A    | N/A      | N/A         | N/A        |
 
 
| #  | Column Name  | IMAGE (single) | IMAGE (single) MEF format | MEFIMAGE (mosaic) MEF format | IMAGE.FLUXMAP | SPECTRUM | CUBE.IFS | VISIBILITY | SRCTBL | MCATALOG | CATALOGTILE | CATALOG |
|----|-------------|---------------|--------------------------|-----------------------------|--------------|----------|---------|------------|--------|----------|-------------|----------|
| 32 | CRPIXi      | M             | M                        | M                           | M            | N/A      | M       | N/A        | N/A    | N/A      | N/A         | N/A      |
| 33 | CTYPEi      | M             | M                        | M                           | M            | N/A      | M       | N/A        | N/A    | N/A      | N/A         | N/A      |
| 34 | CUNITi      | M             | M                        | M                           | M            | N/A      | M       | N/A        | N/A    | N/A      | N/A         | N/A      |
| 35 | CDi_j       | M             | M                        | M                           | M            | NotAlw   | M       | N/A        | N/A    | N/A      | N/A         | N/A      |
| 36 | CSYERi      | R             | R                        | R                           | R            | N/A      | R       | N/A        | N/A    | N/A      | N/A         | N/A      |
